sentence,class
定期向公司提交市场竞品项目分析报告,1
门店重大异常情况通报输出,1
"""1、负责组织制定部门年度组织绩效",1
定期每周经营数据、管理情况收集与汇报,1
领导建立公司与客户、上级主管部门、铁路局、物流企业、媒体等部门间顺畅的沟通渠道,1
"""主要职责：",1
确保中转场各项工作有序开展,1
有效执行上级部门发布的有关管理制度、操作标准、作业指令,1
统筹编写分拨区经营分析报告,1
完成相关理赔谈判工作,1
呈报中转场经理,1
客观公正的实施员工考核及奖惩,1
配合项目组内部各事项性工作的联合推动,1
协调内部相关团队完成相应的解决方案,1
协调内外部资源,1
负责与区部各职能部门的沟通及协调,1
并落实各项的奖惩,1
推动各部门,1
负责流程的传达、落实工作,1
制定分流方案,1
开发模式设计、规划设计建议、商务谈判、土地征迁、政府协调等工作,1
防止和处理异常情况,1
统筹组织分拨区经营分析会议的召开,1
组织绩效考核实施,1
针对地区网点标准化实施情况的检查、监督和反馈,1
完成上级交代的其他任务,1
使生产行政各项重大问题得以及时研究处理,1
开展户外检查,1
完成其他分配的工作,1
编写经营分析报告,1
并监控预算执行情况,1
参与数据挖掘模型的构建、维护、部署和评估,1
协助部门领导管理日程安排及日常事务性工作,1
管控、反馈实施过程需要支持事项,1
负责上级领导交付的其他工作任务,1
严格落实执行各项业务流程标准、操作指引及相关管理制度,1
负责地区标准化实施情况的检查、监督和反馈,1
完成上级交办的其它事务,1
异常事件上报、组织领导本辖区的车辆事故应急救援及处理,1
对仓库工作进行指导、检查、监督、评估及反馈,1
关键任务的统筹和跟进,1
优化考核工作方式方法,1
完成公司领导交代的其他工作,1
负责总部、区部各项制度的上传下达,1
定期进行调研分析,1
突发情况处理,1
及时进行组织和流程的优化调整、领导营造企业文化氛围、完善企业管理制度,1
负责对技术方案的评审工作,1
"""①制定中转场标准化推广实施指引",1
起草项目投资建议书,1
反馈执行过程中的问题和困难以及改善方法,1
负责与各职能部门的沟通协调,1
执行与分部及区部各职能部门的沟通及协调,1
配合总部、大区进行网点标准化专项工作和专项检查,1
针对战略问题与其他部门讨论,1
进行现场操作辅导,1
对盗、欺诈、提供虚假资料等不诚信行为和员工财产安全事故开展相关的调查工作,1
跟进会议管理工具在地区的推广及应用,1
在与政府、军队、军工企业沟通上发挥桥梁纽带作用,1
公司或上级安排的其他临时工作,1
针对异常情况分析原因,1
"""1、跟进地区关键报告的实施运用",1
执行总部、区部各项制度的上传下达,1
协助总结回顾组织绩效完成情况,1
负责分部与区部职能的沟通及协调,1
台账定期跟进回顾,1
"并做好相关沟通及风险管控""",1
申请落实相关优惠政策,1
收集、整理报告制作的各项数据,1
建立健全战略信息共享制度和流程,1
上级领导安排的其他工作,1
数据通报,1
统筹地区会议管理体系的应用、优化与落地,1
制定和优化安全、防损相关制度,1
并推动地区实施运用,1
确保全面完成任期责任目标和年度方针目标,1
"""1、负责公司制度的通知、培训",1
行动方案,1
制定相应的预防控管措施,1
推动重点工作事项的落地执行,1
并推动问题解决,1
发现异常及时整改,1
并撰写日常培训总结,1
④撰写流程制度改善、操作标准化提升等相关公文,1
完成上级交付的其他工作,1
组织速运或海外大区跨职能沟通,1
对运作中的异常予以跟进、整改、优化,1
汇总营运类制度的并及时更新传达,1
经营战略和计划执行情况、资金运用情况和盈亏情况、机构和人员调配情况及其他重大事宜,1
输出工作事项,1
处理分部财务、行政及其他相关工作,1
收集和整理会议资料及信息,1
制定改进计划,1
制定具体行动计划和方案,1
并反馈执行过程中遇到的各种情况,1
积极做好外部相关部门的沟通,1
效能提升计划,1
各处室职能工作对接跟进,1
负责制定与技术相关的各项管理制度、技术规范及业务流程,1
发现问题及时纠正,1
规范并完善体制,1
负责与分部及区部各职能部门的沟通及协调,1
保持良好的关系,1
统筹地区年度规划预算工作开展,1
在突发情况下能积极调动其它可用资源,1
并支持相关部门和地区落地实施,1
对流程标准进行修订,1
开展每日进行点部例会,1
根据项目实际情况对项目成员提供相关敏捷实践的培训和指导,1
与各相关政府部门进行沟通及办理相关手续,1
组织各职能完成专项汇报工作,1
"""1、公司制度的通知、培训并落实执行",1
负责协调跨部门、跨组织的重要事件、需求和问题的解决,1
将讨论结果转化为规划方案的输入,1
不断改善劳动条件,1
适时与相关部门联系,1
上级安排的临时任务,1
管理制度及公文,1
（4）协助甲方处理其他紧急事件及交办事件,1
同时给予必要的工作指导和协助,1
有一定沟通能力协调能力,1
对分部重点指标进行监控并组织对较弱分部的诊断与帮扶,1
对各项决议的实施过程进行监控,1
落地并优化分部组织绩效管理办法,1
并将讨论结果转化为规划方案的输入,1
协助组织绩效方案的制定、过程跟进、评价与结果应用（BU处室、区域公司）,1
并在次日例会加以强调,1
公司各项通知、制度及规定的传达和效果审核,1
制定科学合理的分期建设方案,1
牵头全区重货收派作业模式的创新和优化,1
定期提供分析报告,1
述职报告（如月度、季度、半年、年度）,1
反馈各类总部通知,1
利用会议管理系统完成会议通知、纪要发布系列工作,1
⑥完成上级交付的其他工作任务,1
输出汇总性报告,1
定期巡查门店,1
统筹协调跨部门的工作事项,1
及时发现和分析其中变化和问题,1
关键报告体系搭建及经营分析报告输出,1
提出各个时期维修工厂的奋斗目标和中心工作及重大措施方案,1
设计并实施一、二级培训效果评估,1
为总部决策提供数据及信息支持,1
"部门负责人交办的其他事项""",1
"其他上级交代的工作""",1
引导关键的敏捷会议,1
定期输出行业分析报告,1
及时对到发车晚点及突发事件进行处理、上报、跟进及反馈,1
组织并实施项目的尽职调查,1
组织各职能,1
通过培养评估后定岗,1
协调相关部门、推动产品落地,1
负责与相关媒体对接,1
沟通协调：协调跨职能问题,1
协助各业务部门进行业务流程梳理重组、组织优化及设计、人力资源设计等具体方案的讨论和制定,1
并提出改进方案,1
领导执行、实施董事会的各项决议,1
推动、梳理各项运维指标,1
检查、整改操作现场的质量,1
经营分析：关键报告的撰写、统筹或组织各部门联合完成,1
支持决策层,1
针对出现的问题予以分析和给予指导建议,1
领导交办的其他事宜,1
对重大事项进行决策、代表公司参加重大业务、外事或其他重要活动,1
组织、汇报营运SOP联合巡检工作,1
完成领导安排的其他工作,1
并推动相关环节改善,1
跟进各项决议事项,1
定期开展各种形式的辅导,1
推动各项决议的落地执行,1
与区部各职能部门的沟通及协调,1
与职能部门进行有效的沟通,1
协助监控行动方案的实施进度及完成情况,1
给出系统建设性规划,1
组织绩效面谈,1
并推广监控实施,1
"""跟进地区关键报告的实施运用",1
"""1、承接总部相关工作安排",1
承办上级交付的各项工作任务,1
合理分配工作,1
定期开展绩效考核工作,1
协助营运高级经理组织拟订本区运作方案、流程、制度,1
负责中转过程中异常及突发事件的反馈、处理,1
"""1、协助收集当地土地信息及协助开展项目前期调研策划、项目可研、政府对接及各种合作协议的拟定签署等工作",1
负责将区部各项制度的传达及落实至实处,1
制作相关工作管理报告,1
起草尽职调查报告,1
反馈执行过程中的问题和困难以及好的做法,1
绩效目标责任书的制定,1
根据培训方案实施培训活动,1
并推广实施,1
依照总部制定的制度、流程、方案和实施细则,1
上级领导交付其他任务执行和落实仓库相关规章制度,1
协同内外部财务、法务尽职调查团队,1
负责与各职能部门的沟通及协调,1
领导执行董事会各项决议,1
配合总部、大区进行质量专项工作和专项检查,1
并推动实施$,1
定期编制各单位经营分析,1
统筹协调相关部门推进投后管理方案的落地执行,1
负责地区网点标准化各项工作的推动实施,1
协同完成年度、半年度工作总结及工作报告编写,1
"""1、根据国家安全相关的法律法规",1
负责对区部各项制度的传达及落实,1
落实公司各项制度要求的上传下达,1
负责协调运作信息报送以及车辆调度等环节的工作,1
完成尽职调查报告并向投委会汇报,1
上级交办的其它事项,1
保证工作目标的达成$3、组织全网进行管理稽核,1
协调、推动跨地区相关的工作,1
撰写营销分析报告,1
分析异常指标的原因,1
协调各部门关系,1
指导中转场实施,1
带领团队及成员达成工作目标$6、完成上级交付的其他工作任务,1
全国营运指标的定期分析、异常指标问题追踪,1
协助上级推进项目或重点工作的落实,1
部门负责人临时交代事宜,1
协助部门负责人推动、落实各类管理工具在地区的使用,1
客观公正地对员工进行考核和奖罚,1
主持行政全面工作,1
制定培训实施方案,1
牵头全区重货收派员形象素质量提升工作,1
"""1、协助上级推动各项管理工具在地区的运用",1
跟进、评价并反馈各职能部门、地区战略执行情况,1
并跟进职能部门、地区的执行情况,1
遵循诚信原则,1
负责相关专项研究,1
定期抽查账物相符情况,1
确保决议的贯彻执行,1
负责将公司各项制度传达及落实至实处,1
负责将区部各项制度传达及落实至实处,1
"各项任务的落地执行及反馈、负责总部、区部各项制度的上传下达""",1
切实做好环境保护和劳动保护工作,1
问题进行统筹跟进,1
推动异常指标改进措施的实施,1
推动关键报告管理体系的应用,1
规避和处理异常情况,1
建议事项,1
推动协助甲方与国家部委、军队、军工企业等部门对接联系,1
提供专业意见,1
负责与各相关政府部门沟通及办理相关手续,1
并对工作进行指导,1
"完成上级领导交付的其他工作任务""",1
细化关键报告分析的主要职责及流程,1
提出持续优化改进措施,1
定期编制各行业研究分析报告,1
协助部门负责人进行规划方案在集团高层层面的汇报和审核,1
汇总营运类制度并及时更新传达,1
建立分析制度,1
"带领团队及成员达成工作目标$6、完成上级交付的其他工作任务""",1
跟进地区关键报告的实施运用,1
统筹发文内容和时间计划,1
完成领导、上级交办的其他工作,1
协助组织开展区域内会议管理工作,1
积极完成上级领导交付的其他工作任务,1
执行上级领导安排的其他工作,1
对分析情况进行总结,1
以及交易方案的设计和交易文件的准备,1
及与其他部门的协调工作,1
与跨职能其他部门进行沟通,1
推动实施地区实习生、顺丰班、奖学金的实施,1
②组织实施中转场现场检查和改善工作,1
协调分部与其它部门及外部相关单位的关系,1
"""1、统筹推动：有效协调区域内资源",1
组织制定商品节假日的操作指引,1
组织、搭建设备维养工作计划,1
会议管理：会议组织、纪要及决议跟进,1
地区下达的各类销售专项任务制定本地实施计划,1
通过与工程师、地区同事的沟通访谈,1
与公司内部相关部门保持紧密沟通,1
按相关标准进行资源配置,1
推进项目内部上会、决策流程,1
组织、推动并梳理各项日常工作及项目工作,1
主持、推动关键管理流程和规章制度,1
负责晨会等活动的开展及负责与合作商户沟通解决突发问题,1
积极对总部、区部各项制度进行上传下达,1
领导交办的其他事项,1
并推动实施$2、组织、推动并梳理各项日常工作及项目工作,1
管控地区跨班次达成情况,1
发现关键问题并提出改进建议,1
组织策划热点话题,1
根据组织战略规划,1
策划活动,1
并监控培训实施过程,1
协调本层级的组织绩效信息和数据收集、系统操作等,1
负责与设计对接,1
提出可行性建议,1
并制订措施,1
配合推动组织绩效管理相关规章制度、流程及步骤的执行,1
根据培训方案,1
全面领会董事会的各项决议内容及其重要意义、组织实施董事会的各项决议,1
负责与区部各职能部门、业务区的沟通、协调,1
撰写分析报告及给出结论,1
撰写投资报告并向投委会汇报,1
进行规划方案在集团高层层面的汇报和审核,1
指标监控类：监控组织绩效指标,1
反馈各项任务的执行与实施情况,1
优化投诉、异常处理流程,1
负责与相关部门确定工作接口和业务交接标准,1
争议等问题,1
拟定具体改进计划,1
根据培训规划或方案编制培训费用预算,1
客观公正地对员工进行考核和奖惩,1
并输出改善建议,1
完成上级交办的其他工作任务,1
协同各部门开展整合的具体实施工作,1
负责与各业务区运作部、总部的沟通及协调运作事宜,1
协助组织召开区部职能例会、企划例会及月度、季度、年度经营分析会,1
提高客户满意度,2
通过数据分析,2
开拓市场,2
做好客户的开发与维护工作,2
挖掘用户需求,2
负责分、点部大客户维护及协助开发,2
负责重点客户的引入对接,2
拜访客户,2
负责重货客户运营个性化需求解决,2
客户满意度高,2
"""1、负责重货集配站新客户开发维护工作",2
开发新客户,2
维护网点所在区域的公共关系及大客户并协助开发,2
执行分部及所辖点部市场开发、大客户开发及维护,2
能进行有效数据分析,2
提高客户满意度和粘性,2
市场竞争分析,2
进行客户引入3、协助解决客户需求,2
提升客户满意度,2
负责客户需求研究与分析,2
客户引入及维护,2
塑造良好的品牌形象,2
及时响应客户需求,2
执行营业网点大客户维护及协助开发,2
支持客户引入,2
负责点部大客户维护及协助开发,2
提高客户满意度:,2
根据客户需求透析客户的痛点,2
客户的日常沟通和需求解决,2
满足用户需求,2
"""1、调研客户需求",2
改善客户关系,2
负责分部大客户维护及协助开发,2
保证客户感知度,2
不断提升客户满意度,2
从客户体验出发,2
②负责产品与客户成本测算,2
提高市场占有率,2
扩大市场占有率,2
流量数据分析,2
"""1、根据各网点的需求收集",2
收集、整理市场客户信息,2
指导开展商机管理、新客户开发、老客户维护等工作,2
提升用户活跃与粘性,2
维护客户,2
并预测客户、市场、竞争发展趋势,2
拜访及开发潜在客户,2
负责业务网点大客户维护及协助开发,2
包括市场趋势研究,2
充分理解客户的业务场景,2
基于用户与市场分析,2
洞察和分析客户需求,2
提升顾客满意率,2
提高客户的满意度,2
保障海外和大陆大客户销售组的需求及时跟进,2
提高客户入驻率,2
执行点部大客户维护及协助开发,2
包裹准备方案满足客户需求,2
参与TOP客户的日常维护及开发工作,2
及时了解客户期望,2
了解并设法满足客户需求,2
了解受众心理,2
了解客户需求,2
跟踪用户反馈,2
洞察,2
维护用户社群,2
与用户互动和保持联系,2
负责客户门店管理,2
负责用户的挖掘和互动,2
负责根据市场与客户实际情况,2
"促进员工工作环境的改善:""",4
根据细化后各岗位操作标准和要求,4
提升团队凝聚力,4
负责公司员工队伍建设,4
协助仓库负责人对仓库基层人员进行培训、绩效考核等,4
改善员工工作氛围,4
营造安全、诚信的文化氛围,4
有效开展团队建设活动,4
建设地区招聘队伍,4
储备干部工作职责,4
有效落实人员作业安全教育,4
"""工作职责：",4
不断提高维修工厂人才素质,4
选拔中高层管理人员,4
对员工进行考核和奖罚,4
评估团队成员的工作绩效并进行绩效辅导,4
并对实习人员进行严格筛选,4
工作职责：,4
提升员工业务技能及作业效率,4
定期对员工进行培训和业务技能提升考试,4
确保商品、资产、人员等安全,4
合理控制人员投入,4
人员,4
"""1、负责拓展网点业务类型、人员招聘及日常管理工作",4
协助工程师和管理层完成演讲材料,4
人员培训,4
负责对经营网点人员团队分析掌握,4
支持管理层,4
提高员工服务水平,4
确保物资及人员安全,4
提高员工满意度,4
包括人员招聘、人员管理及人员排班等,4
9个月基层岗位历练,4
支援人员到岗监控,4
负责对分部人员的业务培训,4
提高团队成员的敬业度,4
不断提高员工质量和员工满意度,4
改善团队气氛,4
以确保资金、用工等安全,4
确保公司资产、资金、人员的安全,4
持续改善作业流程、合理控制人员投入,4
不断提高员工质量和员工满意度:,4
创建高绩效分部团队和良好组织气氛,4
培训营业网点人员的业务,4
网点人员80-200人不等）,4
确保公司人员、资产、资金和经营场所安全,4
制定人员月度添加计划,4
激励团队氛围,4
合理处理员工诉求,4
负责对网点人员的业务培训、制度传达,4
负责点部人员管理、团队建设及内部用工风险管理,4
职位职责：,4
大专以上学历,4
提高员工实操技能,4
对人员现场操作进行指导、监督,4
创建高绩效团队和良好组织气氛,4
负责对业务网点人员的业务培训,4
对本部门人员及三方外包人员进行有效的工作安排和绩效考核,4
促进员工工作环境的改善,4
负责站点人员招聘、培训及日常管理,4
提升招聘工作的质量,4
提升员工技能,4
负责点部人员管理及团队建设,4
确保商品、资产、人员安全,4
负责所在部门人员的考核、培训工作,4
对点部人员的业务培训,4
营造和谐、激励的团队氛围,4
负责团队人员招聘、培养、诉求满足、沟通关怀,4
根据现有人员配置,4
根据岗位特点,4
合理调配车辆及人员,4
负责中转场人员管理及团队建设,4
负责对点部人员的业务培训,4
"""1、本科及以上学历",4
参与关键岗位招聘,4
制定人才培养规划,4
"""岗位职责：",4
网点人员100-300人不等）,4
处理员工争议、纠纷等问题,4
执行对点部人员的业务培训,4
并针对员工进行培训,4
与其他同事协作工作,4
开展业务技能培训和管理,4
协助网点作业组负责人,4
推广和提高员工安防意识,4
对分部人员进行业务培训,4
"""职位职责：",4
服装类,5
端到端、全流程进行产品设计,5
合理调配仓库人力资源,5
规范各品类商品管理标准与操作规范,5
负责地区分点部各项操作流程SOP的制作、培训、落实,5
外卖平台差评监控,5
优化双温冷藏车技术的设计,5
成本分析类：配合企划负责人完成分拨区成本分析及管控工作,5
拓展铁路与物流结合,5
负责分部应收账款及时回收率、控制点部费用支出,5
负责控制业务网点应收账款及时回收率,5
负责重货场地在新增、改造、搬迁过程中的场地规划、使用及作业流程进行审核,5
负责对中转过程中问题件的分析、控制,5
监督数据系统录入与手工登记情况,5
负责重货集配站专收能力提升,5
有效执行仓储运营及质量改善有关管理制度、操作标准、作业指令,5
保证快件时效实现和快件安全,5
持续完善、优化营运流程标准,5
不断提升团队的工作质量、效率和技术能力,5
协助拟定冷运BU工作规划,5
汽车配件类,5
"""、处理仓储配送仓库日常管理实务",5
协助制订全网络中转场设备维修及维护管理制度,5
协助仓库负责人改进优化仓库作业流程并提高操作效率,5
保证公司库存货品的安全及库房安防工作,5
对人工成本进行优化提升,5
持续优化仓库区域布局,5
有效使用仓库的面积与容积,5
细化中转场作业标准化的发展进程,5
提升分析效率,5
对设备进行日常维护和保养,5
协助仓管员进行收派件出入仓、问题件跟进处理,5
不断提高维修工厂的经济效益,5
及时更新到仿真系统,5
"如交通事故等""",5
确保产品质量稳定提高,5
就造价、工期等提出建议,5
其它类：其它临时性工作,5
日常开展库存货物、库内资产盘点及安防工作,5
看懂原理图,5
并持续优化仓库区域布局,5
包含钥匙的登记、分类、使用、维护等,5
执行控制点部应收帐款及时回收率,5
商品营运能力提升,5
监督执行库存物资盘点和结果分析,5
出品有质量地活动方案、视觉设计、广告文案、宣传物料、串场台词等,5
提升仓库运营能力和质量水平,5
提升仓储营运能力和质量水平,5
负责散航出港资源使用的分配与调整,5
快件生命周期缩短等方面做出数据统计分析,5
负责控制点部应收帐款及时回收率,5
确保快件时效、安全、操作规范及客户满意度达到公司标准,5
负责各站点错发、湿损管控、遗失情况的管控,5
对现场操作发现问题和隐患进行即时改进,5
协助地区开展国际件业务知识培训,5
推进系统实现,5
协助仓库负责人进行仓库日常管理工作,5
协助总部推动仓储创新机制,5
推动全国商品营运水平,5
"""1、组织制定冷运监控管理制度",5
持续改进仓库作业流程并提高操作效率,5
控制送货和仓储成本,5
根据本中转场的区域特点,5
"""1、处理仓储配送仓库日常管理实务",5
包括：运输、仓储、配送、车辆管理等,5
负责操作质量（问题件、时效）的掌控和优化,5
仓库管理制度、操作标准、流程的细化与宣导及人员配备,5
协助中转场经理提升资源利用率,5
确保各种款项（营业月、代收货款、月结款）的及时收缴,5
提升人均效能,5
对柜机发生的故障及时现场检修、部件更换,5
专项类：分拨区年度预算编制或修订工作、分拨区的招采项目（外包车辆、业务流程外包、运力采购等）评审,5
维护现场的作业秩序,5
负责对中转批次、操作流程、中转场场地布局及设备配置等整体规划工作,5
控制点部应收帐款及时回收率,5
控制营业网点应收帐款及时回收率,5
保证快件时效,5
对门店质量问题进行输出整改,5
跟进地区网点微仓收货等相关工作,5
LSS系统订单实时监控,5
促进知识更新,5
提升仓库安全和防损管理水平,5
保证安全文明生产,5
负责与货代、航空公司等走货渠道的开通、日常关系协调及维护,5
提升大件仓营运能力和质量水平,5
对区域重货网络的干线,5
不断完善商家管理制度、流程与合同,5
快件流转时效持续监控、分析、优化,5
处理员工争议、纠纷、款项回收等问题,5
比如场地设备、布局、皮带、参数等,5
"""1、负责散航出港资源获取",5
细化操作分工,5
提高仓库利用率,5
为中转批次、操作流程、中转场场地布局及设备配置等整体规划工作提供支持,5
保障仓库账目清晰明了,5
协助总部各项工作在地区的落地推广及供应商柜机现场安装的验收工作,5
对接机场操作与陆路运输,5
负责地区车辆线路规划及优化工作,5
不断提高维修工厂的技术素质,5
支线投放模型,5
控制分部应收帐款及时回收率,5
负责控制分部应收帐款及时回收率,5
领导维修厂进行技术革新,5
制定并推进仓储安全各项指标和防损管控流程,5
有效执行仓储营运及质量改善有关管理制度、操作标准、作业指令,5
管控快件、人员、资产、资金和客户的生命循环,5
针对重点门店质量改善跟进,5
"""1、统筹负责仓库内仓储部、中转部、配送部的各项管理工作",5
逐步推进中转场作业标准化的进程,5
制作沙盘模型,5
会分析电路原理,5
会焊BGA芯片,5
日常开展库存货品、库内资产盘点以及安防工作,5
协助跟进中转班次优化进度,5
维护柜机软件应用,5
负责对中转过程中问题数据进行汇总、分析,5
负责所辖区域内的物流配送计划的制定、配送资源的协调等,5
核查静态路由异常数据,5
全网络中转场设备维修维护数据规划及运用,5
降低操作成本,5
有平板电脑主板、手机主板、台式电脑主板等维修经验,5
控制点部费用支出,5
针对场地周期性更新的数据进行标准化处理,5
按总部要求推动地区实名制、重量稽查、开箱验视等工作在地区的执行落地,5
管理全网全网络中转场资产设备维修及维护保养,5
"""1、分析地区问题件的产生原因",5
确保重货运营标准操作流程落地执行,5
负责对接仿真数据和模型更新,5
制定场地的作业指导书（SOP）,5
落实仓库规章制度,5
构建顺丰文化,5
负责时效类指标的跟进及优化,5
实现快件安全,5
负责航空枢纽自动化分拣设备设计、选型、优化、调试,5
协助审核全网中转、班次、路由规划的合理性,5
负责冷库仓储、中转、配送的人员管理和团队建设,5
负责招商物料的设计与制作,5
保障仓库日常操作顺畅有效,5
处理分部问题件,5
确保快件时效、安全及客户满意度达到公司标准,5
确保仓储系统和台账登记数据准确,5
包括品质、价格、陈列、库存、损耗、毛利等,5
制定相应模板,5
协助改进资产设备维养管理工具、方法,5
负责对中转场车辆进行管理,5
"""1、有效执行仓储营运及质量改善有关管理制度、操作标准、作业指令",5
熟悉各种元器件的品名规格以及功能等常识,5
负责建立数据处理和产能分析模型,5
维持正常营业状态,5
能简单用SQL,5
对仓库账目进行监督检查,5
提升城市柜机运营的一致性,5
并提出中转班次优化建议,5
制定仓库工作计划,5
确保分拨区营运工作正常高效的开展,5
配合品控对商家进行检查,5
提高操作效率,5
车辆,5
保障设备运行的安全性、稳定性,5
确保配送站点正常高效运作,5
负责查找地区作业流程与场地工艺布局上存在的问题,5
定期进行设备巡检维护,5
负责整体快件时效的管控及分析,5
工艺流程设计,5
提供后勤支持,5
"""1、负责对地区中转及网点场地布局的规划及筹建",5
提升场地作业标准化,5
全流程挖掘、满足仓储客户服务需求,5
确保现场操作安全高效,5
有能力准备操作流程和分析成本及服务水平,5
规划仓储系统产品的技术构架,5
负责仿真、生产系统的日常优化与维护,5
"""1、医药冷藏车设备的智能化管理规划",5
熟悉各类文体,5
"""1、门店LSS质量考核数据监控",5
开展爱沙尼亚区物流产品设计和分析,5
对物流工作规范进行总结和完善,5
医药类和生鲜食品,5
协助中转、班次、路由规划工具的应用推广,5
负责库存货物、仓库资产、人员作业安全防范工作,5
制定冷库仓储、中转、配送年度工作计划,5
建立全国门店SOP巡检、评价、追踪纠错机制,5
工具设备等资源投放推动、监控及优化,5
组织制定冷运监控管理制度,5
熟练使用电烙铁、万用表、示波器等维修工具,5
SF,5
持续改善作业流程、确保验货、收货、配货、打包、发货、上架、退货等流程正常进行,5
制定和执行物流工作计划,5
负责对仓库运营操作过程中问题件的控制,5
每天门店运力监控,5
统筹管理所辖区域智能快递柜的运营维护（硬件、软件）,5
所辖片区柜机钥匙存放安全管理,5
合理设置与优化仓库区域规划布局,5
带领团队对商品进行包装样品的检测,5
有效控制仓库运营成本,5
累计电子行业主板9年以上的维修工作经验,5
负责中转批次、航线、陆运干线的规划和优化,5
防范库存货物、仓库资产、人员作业风险,5
使仓库利用最大化,5
为客户提供仓储物流服务(包含仓储、分拣及相关增值服务),5
推进仓库精益项目,5
规范收派员和仓管的操作流程,5
配合营运设备、装备、物料的推广使用,5
确保冷运监控各项工作得到有效执行$,5
包括3C类,5
保证大件仓最大使用率,5
确保商品的质量和品质稳定,5
推动仓储运营流程标准化的建立,5
不断改进仓库作业流程,5
搞好维修工厂的挖潜、革新、改造,5
监管仓库冷藏设备的管理,5
研究制定仓储系统技术发展路线,5
利用数据挖掘等工具对多种数据源进行诊断分析,5
规划与建立区域快递网络的干线,5
负责3C及3C配件的招商工作,5
中转批次设置,5
负责地区分点部、中转场各项标准化工具配置工作,5
确保仓库的货物出入库、配送工作顺畅,5
具体明确落实标准化作业要求,5
工作跟进类：跟进分拨区重点工作进度,5
负责对本单位管辖车辆安全生产负责,5
根据公司的物流仓储配送业务规划,5
并推广应用,5
合理控制操作成本,5
负责地区分点部场地面积需求测算、位置规划、场地勘察、场地规划、场地验收工作,5
保证快件正常运转,5
挖掘增值渠道、提升仓储收入,5
合理规划库区,5
保障货物周转时效,5
负责标准化操作的抽查,5
完成分拨区经营月报编写,5
"""1、主导华南RDC仓储精益改善、流程优化、成本降低等重点项目落地",5
掌握了物流行业动态,5
